,Sentence,PreprocessedSentence,Sentiment,PeopleInitially,People,OrganizationsInitially,Organizations,PricesInitially,Prices
3618,Return on capital employed rose by 4.8 percentage points to 19.6 % .,return capital employ rise by percentage point to,positive,[],[],[],[],[],[]
3619,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",periodend cash cash equivalent total eur m compare to eur m previous year,negative,[],[],['EUR10 .5'],[],[],"['EUR6 .5 m', 'EUR10 .5 m']"
3620,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,more than special event three county during four month be host by library system its nine branch librarie,neutral,[],[],[],[],[],[]
3621,Net cash flow from operations is expected to remain positive .,net cash flow from operation be expect to remain positive,positive,[],[],[],[],[],[]
3622,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",adp new nov finnish powersupply solution provider efore oyj omx efov announce today launch of opus dc late power system its opus product line,positive,['Efore Oyj'],[],['OPUS DC'],['OPUS DC'],[],[]
3623,$AXP Looking for continuation with volume increase http://stks.co/c8sR,axp look for continuation with volume increase,positive,[],[],[],[],[],[]
3624,Uponor improved its performance in spite of the decrease in residential construction in the US .,uponor improve its performance spite of decrease residential construction us,positive,[],[],['Uponor'],['Uponor'],[],[]
3625,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",these include software development for internet mobile telephone content communication valueadde software financial service security application system integration electronic,neutral,[],[],[],[],[],[]
3626,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,spy extreme win today cent above low year spy up percent life be bowl of cherry great short setting up,negative,[],[],['spy'],['spy'],['today - 2 cent'],['today - 2 cent']
3627,"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",nokia share hit euro friday down percent from start of year part because of slow introduction of touchscreen model,neutral,[],[],['Nokia'],['Nokia'],[],[]
3628,It will focus on improving its profitability next year by streamlining operations .,it focus improve its profitability next year by streamline operation,positive,[],[],[],[],[],[]
3629,At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,at same time I be delight by fact that we be able to accomplish organization with our own team member,positive,[],[],[],[],[],[]
3630,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,server be responsible for manage device user account desktop client application enable remote access to mobile phone,neutral,[],[],[],[],[],[]
3631,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",earning per share eps be eur up from loss of eur,positive,[],[],['EPS'],[],[],"['EUR0 .083 ', 'EUR0 .03 ']"
3632,"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",company transportation business be conduct through florida rock tank line which be southeastern transportation company concentrate hauling by motor carrier of liquid dry bulk commodity,neutral,[],[],"['Florida Rock & Tank Lines', 'southeastern']","['Florida Rock & Tank Lines', 'southeastern']",[],[]
3633,The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,ipad application join iphone app as part of monster range of mobile application for job hunting,neutral,[],[],"['iPad', 'iPhone', ""Monster 's""]","['iPad', 'iPhone', ""Monster 's""]",[],[]
3634,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,currently more than of global fortune company be use ssh security solution,neutral,[],[],['SSH'],['SSH'],[],[]
3635,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,february finnish medium company sanoma oyj hel saav say yesterday its net profit almost triple to eur m from eur m for announce proposal for raise payout,positive,['Sanoma Oyj HEL'],[],"['EUR297', 'EUR107 .1']",[],[],"['EUR107 .1 m', 'EUR297 .3 m']"
3636,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",aberdeen am post h outflow say condition to remain challenge,negative,[],[],[],[],[],[]
3637,$AAPL  downgrade is bias. This stock is a buy.,aapl downgrade be bias this stock be buy,positive,[],[],[],[],[],[]
3638,"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",operate profit exclude nonrecurring item total eur mn down from eur mn corresponding period,negative,[],[],"['EUR', 'EUR']",[],[],"['EUR 2.2 mn', 'EUR 2.7 mn']"
3639,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,ugaz this cold put dent massive horizontal rig production who know,negative,['http://stks.co/p1V6P'],[],[],[],[],[]
3640,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",amrn full bull call spread range july to jan let we see this baby do,positive,[],[],[],[],[],[]
3641,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",aapl aapl finally break under ma with no buyback this week look for aapl to test support area,negative,[],[],[],[],[],[]
3642,"In a recent interview with the Financial Times ( FT ) , Sampo 's board chairman Bjorn Wahlroos said If P&C was certainly for sale and the price had been set at SEK 85 billion , confirming earlier statements .",recent interview with financial time ft sampo board chairman bjorn wahlroos say if pc be certainly for sale price have be set at sek billion confirm early statement,neutral,"['Sampo', 'Bjorn Wahlroos']",['Bjorn Wahlroos'],"['the Financial Times', 'P&C', 'SEK 85 billion']","['P&C', 'SEK 85 billion', 'the Financial Times']",[],[]
3643,Technopolis has approximately 130 customer companies in Jyvaskyla .,technopoli have approximately customer company jyvaskyla,neutral,['Jyvaskyla'],[],['Technopolis'],['Technopolis'],[],[]
3644,CRH adds CR Laurence to acquisitions tally for $1.3bn,crh add cr laurence to acquisition tally for bn,positive,[],[],"['CRH', 'CR Laurence']","['CRH', 'CR Laurence']",['1.3bn'],['1.3bn']
3645,Nordea will coordinate the syndicated loan .,nordea coordinate syndicate loan,neutral,[],[],[],[],[],[]
3646,"Operating profit totaled EUR 5.5 mn , up from EUR -0.7 mn .",operate profit total eur mn up from eur mn,positive,[],[],"['EUR', 'EUR']",[],[],['EUR 5.5 mn']
3647,The value of the contract is EUR 25mn .,value of contract be eur mn,neutral,[],[],['EUR'],[],[],['EUR 25mn']
3648,The real estate company posted a net loss of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share compared with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .,real estate company post net loss of xa million xa per share compare with net profit of xa million xa per share for corresponding quarter of,neutral,[],[],[],[],[],[]
3649,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,bbcn bancorp to buy wilshire bancorp bln deal,positive,[],[],"['BBCN Bancorp', 'Wilshire Bancorp']","['BBCN Bancorp', 'Wilshire Bancorp']",['1'],['1']
3650,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,cramo slip to pretax loss of eur million from pretax profit of eur million,neutral,[],[],"['Cramo', 'EUR', 'EUR']",['Cramo'],[],"['EUR 58.9 million', 'EUR 6.7 million']"
3651,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",stora enso r share rise pct to eur upmkymmene be also drag high rise pct to eur mreal b add pct to eur,positive,['Stora Enso'],['Stora Enso'],['UPM-Kymmene'],['UPM-Kymmene'],[],[]
3652,"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",finnish lifting equipment maker kone oyj say october it win order worth mln euro mln to deliver total of custom design elevator to norwegian shipbuilder aker yard asa,positive,['Kone Oyj'],[],[],[],['15 mln euro $ 21.2 mln'],['15 mln euro $ 21.2 mln']
3653,"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",adp news feb finnish construction company lemminkainen oyj hel lem say today its net profit decrease to eur million usd m for from eur million for,neutral,['Lemminkainen Oyj'],[],"['EUR', 'EUR']",[],[],"['EUR 80.6 million', 'EUR 63.5 million', 'USD 81.1 m']"
3654,"Swedbank Hypotek - Is to issue a benchmark , fixed rate covered deal in Euros , maturing January 2010 .",swedbank hypotek be to issue benchmark fix rate cover deal euro mature january,neutral,['Swedbank Hypotek - Is'],['Swedbank Hypotek - be'],[],[],[],[]
3655,The report will be emailed within 2 business days of an order .,report be email within business day of order,neutral,[],[],[],[],[],[]
3656,"UPM said the move will lower net profit by  x20ac 385 million US$ 520 million in the second quarter , mainly due to impairment charges .",upm say move lower net profit by xac million us million second quarter mainly due to impairment charge,neutral,[],[],['UPM'],['UPM'],['385 million us$ 520 million'],['385 million us$ 520 million']
3657,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,finnish meat company atria can no long promise sufficient amount of domestic beef to its customer,negative,[],[],[],[],[],[]
3658,Metso said it has won an order worth around 40 mln eur to supply a kraftliner board machine to China 's Lee & Man Paper Co. .,metso say it have win order worth around mln eur to supply kraftliner board machine to china lee man paper co,positive,[],[],"['Metso', 'Lee & Man Paper Co.']","['Lee & Man Paper Co.', 'Metso']",[],[]
3659,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",adp news feb finnish management software solution provider ixono oyj hel xnsv say today its net profit rise to eur million usd m for from eur million for,positive,['Ixonos Oyj'],[],"['EUR 3.5 million', 'EUR']",[],[],"['EUR 3.1 million', 'USD 4.5 m', 'EUR 3.5 million']"
3660,@BULLYA @pollux654321 My 50 $KORS 80 Calls are going to b a Blessing for my Daughters tuition!,bullya pollux my kor call be go to b blessing for my daughter tuition !,positive,['@BULLYA'],[],[],[],[],[]
3661,"The Tekla Structures product box , if needed , is now made from recycled material .",tekla structure product box if need be now make from recycled material,neutral,[],[],['Tekla Structures'],['Tekla Structures'],[],[]
3662,The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,company report loss for period of eur mn compare to loss of eur mn corresponding period,positive,[],[],"['EUR', 'EUR 1.9']",[],[],"['EUR 1.9 mn', 'EUR 0.4 mn']"
3663,"Elsewhere , the tendency is towards more developed packaging than before .",elsewhere tendency be towards more developed packaging than before,neutral,[],[],[],[],[],[]
3664,"According to Seikku , the retail sector in Finland is controlled by 3-4 large actors , while food manufacturers are still relatively small .",accord to seikku retail sector finland be control by large actor while food manufacturer be still relatively small,neutral,[],[],[],[],[],[]
3665,Tesco Abandons Video-Streaming Ambitions in Blinkbox Sale,tesco abandon videostreaming ambition blinkbox sale,negative,[],[],['Tesco Abandons Video-Streaming Ambitions'],['Tesco Abandons Video-Streaming Ambitions'],[],[]
3666,Royal Mail share price edges lower as group raises stamp price,royal mail share price edge lower as group raise stamp price,negative,[],[],['Royal Mail'],['Royal Mail'],[],[]
3667,"However , the brokers ' ratings on the stock differ .",however broker ' rating stock differ,neutral,[],[],[],[],[],[]
3668,"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",group ebit for first half be eur m us m fall short of eur m it post for same period of,negative,[],[],['EUR22'],[],['17.8'],"['EUR13 .6 m', '17.8', 'EUR22 .5 m']"
3669,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million .,company anticipate its turnover for whole to surpass that of previous year when it be eur million,positive,[],[],['EUR'],[],[],['EUR 67.1 million']
3670,"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",finnish financial software solution developer basware oyj say its net profit fall to euro mln for first quarter of from mln euro mln year early,negative,[],[],['BasWare Oyj'],['BasWare Oyj'],"['$ 2.7 mln', '2.0 mln euro', '$ 1.2 mln']","['$ 2.7 mln', '2.0 mln euro', '$ 1.2 mln']"
3671,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing .",stonegate product family be design to provide full benefit of unified management system include share log reporting auditing,neutral,[],[],['StoneGate'],['StoneGate'],[],[]
3672,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",cash flow from operation total eur mn compare to negative eur mn corresponding period,positive,[],[],"['EUR', 'EUR']",[],[],"['EUR 0.83 mn', 'EUR 2.71 mn']"
3673,TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .,teliasonera say about million be invest next year region to bring mobile coverage to about of nepal s population,positive,[],[],['TeliaSonera'],['TeliaSonera'],['about $ 100 million'],['about $ 100 million']
3674,To see a slide show of all the newest product releases from Fiskars .,to see slide show of all new product release from fiskar,neutral,[],[],['Fiskars'],['Fiskars'],[],[]
3675,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",however this increase signal traffic which waste network resource allow few smartphone to connect,negative,[],[],[],[],[],[]
3676,The orders also include a few high-power drives for the control of seismic compressors .,order also include few highpower drive for control of seismic compressor,neutral,[],[],[],[],[],[]
3677,"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",she succeed krister kyla who have decide to leave teliasonera,neutral,['Krister Kylas'],['Krister Kylas'],['TeliaSonera'],['TeliaSonera'],[],[]
3678,"Payment for acquired shares will be made in cash , and the price per share will be EUR 1 plus an administration fee .",payment for acquire share be make cash price per share be eur plus administration fee,neutral,[],[],[],[],[],['EUR 1 ']
3679,"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .",approximately sek million repayment have be demand for overcharge stockholm area with remain sek million take from western coast inspectorate say,neutral,[],[],[],[],[],[]
3680,"After the transaction , Tikkurila has no powder coatings related operations .",after transaction tikkurila have no powder coating relate operation,neutral,['Tikkurila'],[],[],[],[],[]
3681,The business area 's net sales were slightly over 2m in 2006 .,business area net sale be slightly over m,neutral,[],[],[],[],[],[]
3682,"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to collect irrevocable selling commitments from the holders of its subordinated debenture bonds .",repayment of eur million debenture bond be relate to company previous announcement october to collect irrevocable selling commitment from holder of its subordinate debenture bond,neutral,[],[],"['EUR', 'Company']",['Company'],[],['EUR 105 million']
3683,"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",loss after financial item total eur mn compare to profit of eur mn corresponding period,negative,[],[],"['EUR', 'EUR 1.3']",[],[],"['EUR 1.3 mn', 'EUR 9.7 mn']"
3684,"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",tecnotree convergent charge solution include functionality for prepaid postpaid billing charging rating of voice call video call raw data traffic for both mobile fixed network,neutral,[],[],['Tecnotree'],['Tecnotree'],[],[]
3685,"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",adpnews jul finlandbased steel maker rautaruukki oyj ruukki hel rtrks say today it slip to net loss of eur million usd m for first half of from net profit of eur,neutral,"['Rautaruukki', 'RTRKS']",[],"['EUR 184 million', 'EUR 2']",[],[],"['USD 259.7 m', 'EUR 2', 'EUR 184 million']"
3686,The group will expand the chain to include 45 stores .,group expand chain to include store,positive,[],[],[],[],[],[]
3687,"Sales at the Tiimari business went down by 8 % to EUR 11.8 million , while Gallerix stores saw 29 % growth to EUR 2 million .",sale at tiimari business go down by to eur million while gallerix store see growth to eur million,neutral,[],[],"['EUR', 'Gallerix', 'EUR']",['Gallerix'],[],"['EUR 11.8 million', 'EUR 2 million']"
3688,The first group of customers to be trained will be paint-shop owners and their assistants .,first group of customer to be train be paintshop owner their assistant,neutral,[],[],[],[],[],[]
3689,"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",arvo vuorenmaa loviisa plant general manager say application for new licence be standard '' procedure that he be quite confident '' about approval be grant,positive,['Arvo Vuorenmaa'],['Arvo Vuorenmaa'],['Loviisa'],['Loviisa'],[],[]
3690,The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,layoff affect people out of total okmetic employee finland,neutral,[],[],['320 okmetic'],['320 okmetic'],[],[]
3691,Finnish M-real 's Kyro mill is starting negotiations to cut staff .,finnish mreal kyro mill be start negotiation to cut staff,negative,[],[],['Kyro'],['Kyro'],[],[]
3692,"According to Swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of Per+ñmeri , the Northernmost part of the Gulf of Bothnia .",accord to swedish authority trace of very toxic osmium tetroxide have be find coast of permeri northernmost part of gulf of bothnia,neutral,[],[],[],[],[],[]
3693,"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",among other industrial stock metso add pct to eur wartsila b be down pct at eur rautaruukki k be pct low at eur,neutral,['Rautaruukki K'],['Rautaruukki K'],['Metso'],['Metso'],[],[]
3694,Terms were not disclosed .,term be not disclose,neutral,[],[],[],[],[],[]
3695,"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",expand agreement cover sale marketing distribution of benefon navigation locator device china,neutral,['Benefon'],[],[],[],[],[]
3696,"Raute reported a loss per share of EUR0 .86 for the first half of 2009 , against EPS of EUR0 .74 in the corresponding period of 2008 .",raute report loss per share of eur for first half of against eps of eur corresponding period of,negative,[],[],['EPS'],[],[],"['EUR0 .74 ', 'EUR0 .86 ']"
3697,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",salcomp oyj finnish maker of mobile phone charger monday post eur million loss second quarter compare with million profit same period previous year,negative,[],[],[],[],[],['EUR1 .49 million']
3698,AstraZeneca chases Acerta to secure next cancer drug winner,astrazeneca chase acerta to secure next cancer drug winner,positive,['Acerta'],[],['astrazeneca'],['astrazeneca'],[],[]
3699,The company is reportedly searching for a replacement for CEO Olli-Pekka Kallasvuo .,company be reportedly search for replacement for ceo ollipekka kallasvuo,neutral,['Olli-Pekka Kallasvuo'],['Olli-Pekka Kallasvuo'],[],[],[],[]
3700,"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",total size of complex be around m project be construct stage,neutral,['m2'],[],[],[],[],[]
3701,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",before fki john jiang have work several general manager senior business consultant position for international company china,neutral,['John Jiang'],['John Jiang'],['FKI'],['FKI'],[],[]
3702,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,kaupthing bank publish its annual result for before market open thursday january,neutral,[],[],['Kaupthing Bank'],['Kaupthing Bank'],[],[]
3703,City CU Welcomes DART Members DALLAS-City CU welcomes the members of DART FCU as they merge with City CU .,city cu welcome dart members dallascity cu welcome member of dart fcu as they merge with city cu,neutral,[],[],"['city CU welcome', 'City CU']","['City CU', 'city CU welcome']",[],[]
3704,26 November 2010 - Finnish sports-equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today it has obtained a EUR30m Schuldschein note loan from a pool of international investors .,november finnish sportsequipment maker amer sport oyj hel amea say today it have obtain eurm schuldschein note loan from pool of international investor,neutral,"['Amer Sports Oyj', 'Schuldschein']",[],['EUR30m'],[],[],['EUR30m']
3705,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,hold its recent double bottom buy point of almost to penny today wmt,positive,[],[],['WMT'],['WMT'],[],[]
3706,The first phase will be completed by the end of 2012 .,first phase be complete by end of,neutral,[],[],[],[],[],[]
3707,The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .,contract be sign august with papua new guineabase lihir gold ltd asx lgl,positive,[],[],"['Lihir Gold Ltd ASX', 'LGL']","['LGL', 'Lihir Gold Ltd ASX']",[],[]
3708,Warren Buffett defends Berkshire Hathaway's conglomerate structure,warren buffett defend berkshire hathaway conglomerate structure,positive,"['Warren Buffett', 'Hathaway']",['Warren Buffett'],[],[],[],[]
3709,Short more $FAZ for all who don't know that means markets will tank now :-p,short more faz for all who do not know that mean market tank now p,negative,[],[],['faz'],['faz'],[],[]
3710,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,company issue inaugural eurobond deal near future subject to market condition,neutral,[],[],[],[],[],[]
3711,"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",passenger ferry have dimension of m length overall m length between perpendiculars m breadth m design draught,neutral,[],[],[],[],[],[]
3712,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",be aviva plc direct line insurance group plc admiral group plc set to soar ?,positive,[],[],"['Direct Line Insurance Group PLC', 'Admiral Group plc']","['Direct Line Insurance Group PLC', 'Admiral Group plc']",[],[]
3713,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,rapala aim to move distribution unit ragot from loudeac bretagne distribution unit waterqueen fishing line supplier tortue from saint marcel central france to morvillar,neutral,"['Loudeac', 'Waterqueen']",[],"['Rapala', 'Ragot', 'Saint Marcel']","['Ragot', 'Rapala', 'Saint Marcel']",[],[]
3714,"The project will be a 2 x 600 MW coal-fired power plant , located some 420 km south of Hanoi , the company said .",project be x mw coalfire power plant locate some km south of hanoi company say,neutral,[],[],['MW'],['MW'],[],[]
3715,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",glaston own glass processing unit tamglass glass processing be manufacturer of high quality safety glass product operate finland,neutral,['Glaston'],[],['Tamglass Glass Processing'],['Tamglass Glass Processing'],[],[]
3716,The deal strengthens Ramirent 's position especially in the industrial sector and in large investment projects .,deal strengthen ramirent position especially industrial sector large investment project,positive,[],[],['Ramirent'],['Ramirent'],[],[]
3717,"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",mall be part of baltic pearl development project city of st petersburg where baltic pearl cjsc subsidiary of shanghai foreign joint investment company be develop home for people,neutral,[],[],['Shanghai Foreign Joint Investment Company'],['Shanghai Foreign Joint Investment Company'],[],[]
3718,Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,double bottom with handle buy point of ip,positive,[],[],[],[],['29.51 $IP http://chart.ly/akvujxh'],[]
3719,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",finnish construction company yit be reduce number of startup of marketfinance residential unit to about from previously announce,negative,[],[],['YIT'],['YIT'],[],[]
3720,The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .,company say that previously eb deliver custom solution for lg electronic now be make it commercially available for other mobile terminal vendor as well as to wireless operator,neutral,['EB'],[],"['Company', 'LG Electronics']","['LG Electronics', 'Company']",[],[]
3721,"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",lemminkainen infra oy subsidiary lemminkainen sverige ab perform construction work which be expect to start early to be complete summer of,neutral,[],[],"[""Lemminkainen Infra Oy 's"", 'Lemminkainen Sverige AB']","[""Lemminkainen Infra Oy 's"", 'Lemminkainen Sverige AB']",[],[]
3722,6 October 2010 - Finnish paints and coatings company Tikkurila Oyj HEL : TIK1V announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,october finnish paint coating company tikkurila oyj hel tikv announce today launch of tikkurila prohouse method for protection of wooden surface via treatment with ultra pro waterborne product,neutral,['Tikkurila'],[],['Tikkurila ProHouse'],['Tikkurila ProHouse'],[],[]
3723,Payment of shares shall be effected on subscription .,payment of share shall be effect subscription,neutral,[],[],[],[],[],[]
3724,$ocn has the stuff. Will be looking to add shares if we get a new high breakout.,ocn have stuff be look to add share if we get new high breakout,positive,[],[],[],[],[],[]
3725,"in Q1 '10 19 April 2010 - Finnish forest machinery and equipment maker Ponsse Oyj HEL : PON1V said today that it expects to swing to a net profit of some EUR6 .3 m in the first quarter of 2010 , from an EUR9 .6 m loss a year earlier .",q ' april finnish forest machinery equipment maker ponsse oyj hel ponv say today that it expect to swing to net profit of some eur m first quarter of from eur m loss year early,positive,[],[],"['Ponsse Oyj HEL : pon1v', 'EUR6']",['Ponsse Oyj HEL : pon1v'],[],"['EUR9 .6 m', 'EUR6 .3 m']"
3726,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",finnish construction company yit oyj say november it win mln euro mln contract to construct new office building for local property company tapiola real estate oy,positive,[],[],"['YIT Oyj', 'Tapiola Real Estate Oy']","['Tapiola Real Estate Oy', 'YIT Oyj']","['102.8', '70 mln euro $']","['102.8', '70 mln euro $']"
3727,Through this transaction we are able to participate in developing the industry .,through this transaction we be able to participate develop industry,positive,[],[],[],[],[],[]
3728,"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",as result of cancellation maximum increase of citycon share capital basis of convertible bond decrease from eur to eur,neutral,[],[],"['Citycon', 'EUR', 'EUR']",['Citycon'],[],"['EUR 22,901', 'EUR 23,383']"
3729,"Lee & Man Paper and Metso have a long and prosperous co-operation , a good example of which are the Changshu and Hongmei kraftliner machines delivered earlier .",lee man paper metso have long prosperous cooperation good example of which be changshu hongmei kraftliner machine deliver early,positive,[],[],"['Lee & Man Paper', 'Metso']","['Metso', 'Lee & Man Paper']",[],[]
3730,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",september alone market decline by percent yearonyear to million liter,neutral,[],[],[],[],[],[]
3731,"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",adp news may bank of america bofa downgrade today its rating swedishfinnish paper maker stora enso oyj hel sterv finnish sector player upmkymmene oyj hel upmv to underperf,negative,['Stora Enso'],['Stora Enso'],['adp News -'],['adp News -'],[],[]
3732,"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",thus group balance sheet have about eur million of goodwill company add,neutral,[],[],[],[],['about EUR 25.8 million'],"['EUR 25.8 million', 'about EUR 25.8 million']"
3733,In the meantime the CEO 's duties will be assumed by Outotec 's Deputy CEO Seppo Rantakari .,meantime ceo duty be assume by outotec deputy ceo seppo rantakari,neutral,['Seppo Rantakari'],['Seppo Rantakari'],['Outotec'],['Outotec'],[],[]
3734,The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,department store division sale fall by to eur mn,neutral,[],[],"[""the Department Store Division 's"", 'EUR']","[""the Department Store Division 's""]",[],['EUR 140.2 mn']
3735,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,kone share drop percent to xac we helsinki,neutral,[],[],['kone'],['kone'],"['43 us$', '55.77']","['43 us$', '55.77']"
3736,"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",finnish larox have sign contract with talvivaara project for delivery of filter to talvivaara nickel mine sotkamo finland,positive,[],[],['the Talvivaara Project'],['the Talvivaara Project'],[],[]
