,Sentence,PreprocessedSentence,Sentiment
3580,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,company make its marketing sale investment initiate even more efficient,positive
3581,"EBIT totalled EUR 14.4 mn , compared to a loss of EUR 0.3 mn in the corresponding period in 2009 .",ebit total eur mn compare to loss of eur mn corresponding period,positive
3582,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,orion net profit for third quarter of decrease to mln euro mln from mln euro mln year early,negative
3583,"The OMX Helsinki 25 ended 0.47 pct lower at 3,150.55 and the OMX Helsinki was down 0.21 pct at 10,736.42 on 1.523 bln eur turnover .",omx helsinki end pct lower at omx helsinki be down pct at bln eur turnover,neutral
3584,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",basware connectivity service allow company to handle purchase to pay process online make their internal process more efficient '' say ceo ilkka sihvo basware corporation,positive
3585,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",at same time profit of company increase by h reach ls,positive
3586,"The mill will have capacity to produce 500,000 tonnes of pulp per year .",mill have capacity to produce tonne of pulp per year,neutral
3587,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",operate profit total eur mn up from loss of eur mn second quarter of,positive
3588,"@Stockoptionexpert: $MAT - 6%, big trader added 10000 April put contracts 3 days ago  http://stks.co/c1Ols",stockoptionexpert mat big trader add april put contract day ago,negative
3589,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",sysopen digia plc press release february ibm finland have reward its most distinguished partner company for,positive
3590,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,dilute earning per share eps rise to eur from eur,positive
3591,@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,gakrum nice chart show distinctive down channel not dip where do you see bottom ? spy ? ?,negative
3592,The share subscription period will expire on 30 September 2007 .,share subscription period expire september,neutral
3593,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,enbca headshoulder bullish reversal setup breakout oil gas pipleline stock uso,positive
3594,Severn Trent share price rises as first half profit inches up as customer ...,severn trent share price rise as first half profit inch up as customer,positive
3595,Name of Company in which holdings have been acquired : Citycon Oyj 2 .,name of company which holding have be acquire citycon oyj,neutral
3596,"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",aldata solution oyj thomas hoyer cfo more information aldata solution oyj thomas hoyer cfo tel aldata brief aldata solution be one of global leader supply chain software for retail wholesale logistic company,neutral
3597,easyJet leads Britain's FTSE lower as global bond rout resumes,easyjet lead britain ftse lower as global bond rout resume,negative
3598,Production is scheduled to start by the end of April 2007 .,production be schedule to start by end of april,neutral
3599,"In Asia earlier , Japan 's Nikkei index fell 0.62 percent and Hong Kong 's Hang Seng Index rose 0.56 percent .",asia early japan nikkei index fall percent hong kong hang seng index rise percent,neutral
3600,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",fiskar yearold global business well know for its orangehandled scissor expect to derive synergy of eur million year by consolidate certain part of houseware division where two compete,positive
3601,"`` Every partner will be allowed to buy a quantity of electricity corresponding to their share in the consortium , at production cost , '' a letter of intent said .",every partner be allow to buy quantity of electricity correspond to their share consortium at production cost '' letter of intent say,neutral
3602,"The Board established a Remuneration Committee with following members : - Sari Baldauf Chairman - Tapio Hintikka - Heikki Westerlund In addition , the Board decided to appoint a Nomination Committee at a later stage .",board establish remuneration committee with follow member sari baldauf chairman tapio hintikka heikki westerlund addition board decide to appoint nomination committee at later stage,neutral
3603,"The method utilises waterborne Ultra products , giving protection to wooden surfaces in an industrial painting process whereby two layers of top coat are applied on exterior wooden panels and boards without a separate primer .",method utilise waterborne ultra product give protection to wooden surface industrial painting process whereby two layer of top coat be apply exterior wooden panel board without separate primer,neutral
3604,Berkshire seeks to boost its Wells Fargo stake above 10 percent,berkshire seek to boost its wells fargo stake above percent,positive
3605,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China .",agreement provide switch with double converter capacity whilst open up further manufacturing location china,positive
3606,"Due to Pirkka beer , Olvi 's brewery in Iisalmi is moving to 7-day , 24-hour work shifts .",due to pirkka beer olvi brewery iisalmi be move to day hour work shift,neutral
3607,"Metsaliitto will sell 1.1 million B shares of Neomarkka , accounting for about 18.3 pct of Neomarkka 's equity and about 12.7 pct of the voting rights .",metsaliitto sell million b share of neomarkka accounting for about pct of neomarkka equity about pct of voting right,neutral
3608,"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",huge bridge girder be deliver to site from our plant ylivieska finland,neutral
3609,"Von Koskull will oversee a new unit of Nordea , which brings together corporate merchant banking , financial institutions and capital markets products divisions .",von koskull oversee new unit of nordea which bring together corporate merchant banking financial institution capital market product division,neutral
3610,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo .",thank to multiply effect of wagon performance transport be much more efficient '' say development manager juha malkia from vr cargo,positive
3611,"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",accord to its notice skandinaviska enskilda banken ab publ helsinki branch have august divest total alma medium share to ilkkayhtyma oyj kaleva kustannus oy as condition of agreement make by company july fulfil,neutral
3612,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,line run fully underground comprise station which be execute two implementation stage,neutral
3613,"The Finnish supplier of BSS-OSS and VAS for telecom operators , Tecnotree , has received expansion orders worth a total US$ 7.3 mn for its convergent charging and next generation messaging solutions in Latin America , the company announced without specifying which operators had placed the orders .",finnish supplier of bssoss vas for telecom operator tecnotree have receive expansion order worth total us mn for its convergent charging next generation message solution latin america company announce without specify which operator have place order,positive
3614,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,q may finnish electrical component maker salcomp oy hel salv say today it turn to net profit of eur m first quarter of versus loss of eurm corresponding period last year,positive
3615,"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .",second variant offer complete final finishing of any select apartment with foreign high quality material finland denmark germany france,neutral
3616,Net profit in the same period in 2006 was (  x20ac ) 172 million .,net profit same period be xac million,neutral
3617,Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,break week high timing look great now ahs baby post ige irdm ewbc phys ulta vnet biv,positive
3618,The repurchases shall decrease the distributable capital and reserves .,repurchase shall decrease distributable capital reserve,neutral
3619,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,stx move off bottom still bear market datasecurity emc sndk wdc,negative
3620,The organization that is a member of the Russian auto sector union MPRA has become active since Tikkurila acquired Russian paint company Kraski Teks in 2006 .,organization that be member of russian auto sector union mpra have become active since tikkurila acquire russian paint company kraski tek,neutral
3621,The new shares entitle their holders to dividends for fiscal 2006 .,new share entitle their holder to dividend for fiscal,neutral
3622,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",ebitda for year improve to eurm as compare with eurm,positive
3623,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum report its operating profit increase to eur mn from eur mn net sale total eur mn up from eur mn,positive
3624,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",both operate profit turnover for threemonth period increase respectively from eur m eur m as compare to corresponding period,positive
3625,The bridge will be 1.2 km long and is located between Anasmotet by the road E20 and the new traffic junction in Marieholm by the road E45 .,bridge be km long be locate between anasmotet by road e new traffic junction marieholm by road e,neutral
3626,Finnish electronics manufacturer PKC Group Oyj ( OMX Helsinki : PKC1V ) said on Wednesday ( 31 December ) that it has completed the acquisition of MAN Nutzfahrzeuge AG 's cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,finnish electronics manufacturer pkc group oyj omx helsinki pkcv say wednesday december that it have complete acquisition of man nutzfahrzeuge ag cable harness business from man star truck bus spolka zoo poland,positive
3627,"Veidekke , headquartered in Oslo , Norway , is a Scandinavian construction and property development group with some 6,350 employees in Norway , Sweden and Denmark , with an annual turnover of NOK16 .4 bn .",veidekke headquarter oslo norway be scandinavian construction property development group with some employee norway sweden denmark with annual turnover of nok bn,neutral
3628,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",to our member partner use of it mostly be apparent increase efficiency of result service '' observe perttu puro from tradeka,positive
3629,Protalix is developing genetically engineered proteins from plant cells .,protalix be develop genetically engineer protein from plant cell,neutral
3630,Decisions are to be made as quickly as possible .,decision be to be make as quickly as possible,neutral
3631,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),cat be hangin my thread click away from cliff drop need follow through snapback vix,negative
3632,The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .,incident happen at pm avenue at road,neutral
3633,Verizon and AT&T accused of hurting rivals,verizon att accuse of hurt rival,negative
3634,`` The CHF is a great product .,chf be great product,positive
3635,"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",at cet arcelormittal have lose to eur euronext paris come at lead of bluechip faller,neutral
3636,The cooperation with airBaltic is expected to lead to the transfer of Finncomm to the ownership of airBaltic in time .,cooperation with airbaltic be expect to lead to transfer of finncomm to ownership of airbaltic time,neutral
3637,"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",load up bsx yesterdaylooking good now still think way more upside than downside,positive
3638,"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",lemminkainen group headquarter helsinki finland operate all sector of construction industry civil engineering building contract technical building service building material industry,neutral
3639,"The power supplies , DC power systems and inverters designed and manufactured by Efore , and systems incorporating them are used in many different applications .",power supply dc power system inverter design manufacture by efore system incorporate they be use many different application,neutral
3640,Pertti Ervi is independent from the Company and its major shareholders .,pertti ervi be independent from company its major shareholder,neutral
3641,"In parallel , TeliaSonera has decided to conduct a compulsory acquisition .",parallel teliasonera have decide to conduct compulsory acquisition,neutral
3642,"`` We cut our frequency to New York last year , which explains the fall , '' he said .",we cut our frequency to new york last year which explain fall '' he say,neutral
3643,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",mr ashley deputy executive chairman of sport direct sell pc stake company for more than pound m at time of float,neutral
3644,"Exel Composites ' long-term growth prospects remain favourable , however .",exel composite ' longterm growth prospect remain favourable however,positive
3645,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",by combine its exist solution into single platform comptel say that it have reduce cost of deployment,positive
3646,Shell share price: Standard Life announce position against BG acquisition,she share price standard life announce position against bg acquisition,negative
3647,SAB's Chairman Digs In With Board Divided on InBev Offer,sab chairman dig with board divide inbev offer,neutral
3648,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,company say that sale three month to end of march slide to eur m us m from eur m last year,negative
3649,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,trow ascending triangle give bullish bias to this chart breakout above be positive,positive
3650,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",total scope of project be about square metre it be value at total of around eurm,neutral
3651,Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,net interest income increase by to eur mn from eur mn,positive
3652,"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",addition exist service counter area reception hall be rebuild access provide to local rail connection,neutral
3653,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",helsinki afx kci konecranes say it have raise its stake mmh holdings inc owner of usbased morris material handle to pct from pct,positive
3654,A CUT ABOVE Bring the outdoors in with these birch-branch coasters .,cut above bring outdoor with these birchbranch coaster,neutral
3655,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,consolidated operating profit from continue operation decrease by to eur mn from eur mn,neutral
3656,The contract value amounts to EUR 2.4 million .,contract value amount to eur million,neutral
3657,Net sales of Finnish food industry company L+ñnnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 .,net sale of finnish food industry company lnnen tehtaat continue operation increase by to eur mn from eur mn,positive
3658,The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance .,acquisition of kaupthing sverige bring significant positive nonrecurring addition to group performance,positive
3659,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",adp new nov finnish electronic measurement product solution maker vaisala oyj omx vaias say today that its net profit rise to eur million usd m for first nine month of from eur,positive
3661,Self-service and automation are in a bigger role now and Fujitsu 's global resources will be exploited effectively .,selfservice automation be big role now fujitsu global resource be exploit effectively,positive
3662,"- The Group -¦ s profit before taxes was EUR 0,2 7,8 million .",group s profit before taxis be eur million,neutral
3663,"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",permanent magnet generator power converter be today preferred solution new wind turbine design company say,neutral
3664,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,finnish rautaruukki have be award contract to supply install steel superstructure for partihallsfrbindelsen bridge gothenburg sweden,positive
3665,The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8 .,fair value of capman plc own investment september amount to meur,neutral
3666,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,update barclay expect gain after settle with lehman bros trustee,positive
3667,"ST. PETERSBURG , Oct 14 ( PRIME-TASS ) -- Finnish tire producer Nokian Tyres plans to invest about 50 million euros in the expansion of its tire plant in the city of Vsevolozhsk in Russia 's Leningrad Region in 2011 , the company 's President Kim Gran told reporters Thursday .",st petersburg oct primetass finnish tire producer nokian tyre plan to invest about million euro expansion of its tire plant city of vsevolozhsk russia leningrad region company president kim gran tell reporter thursday,positive
3668,"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .",nokia also note average selling price of handset decline during period though its mobile phone profit margin rise to more than percent from percent yearago quarter,positive
3669,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",wpp world large ad agency report strong growth,positive
3670,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",q of company operate loss total eur mn compare to profit of eur mn q of,neutral
3671,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,finnish lifting equipment maker konecranes hel kcrv say july it have raise its stake austrian manipulator maker acs konecrane to buy german sector player knight europe,positive
3672,"Cash flow after investments amounted to EUR45m , down from EUR46m .",cash flow after investment amount to eurm down from eurm,neutral
3673,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",baltimore police fire pension which have about billion lose about million madoff ponzi scheme,negative
3674,Scanfil plc is a global contract manufacturer and systems supplier for communication and industrial electronics .,scanfil plc be global contract manufacturer system supplier for communication industrial electronic,neutral
3675,"It 's `` finger-friendly '' , and to my opinion , really fast .",it fingerfriendly '' to my opinion really fast,neutral
3676,The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,board of director have propose extraordinary general meeting to authorise board to decide issuance of maximum of mn new share one more share issue,neutral
3677,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,down to eur m h ' august finnish medium group ilkkayhtyma oyj hel ilk say today its net profit fall year to eur m first half of,negative
3678,"According to Sweden 's Minister for Local Government and Financial Markets , Mats Odell , the decision to sell the State 's shares in telecom group TeliaSonera can only be carried out in cooperation with the State of Finland .",accord to sweden minister for local government financial market mat odell decision to sell state share telecom group teliasonera can only be carry out cooperation with state of finland,neutral
3679,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",mobile phone shipment jump percent to almost million unit while finnish company global market share rise to percent from percent,positive
3680,"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser .",accord to mark white locatrix communications ' ceo company web service interface allow device owner friend family to track locate twig user via any web browser,neutral
3681,$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,spy could pride of social medium be gettin ready to fall ? fb chart roll over ?,negative
3682,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",accord to vike line manage director nilserik eklund company board of director be very satisfied with vike line performance,positive
3683,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscriber base increase to million user as of december while its market share by number of customer amount to as of late up from as of late accord to teliasonera estimate,positive
3684,Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,finnair believe strike because it daily net loss excess of eur mn due to cancel reservation passenger reroute,negative
3685,"( ADP News ) - Feb 11 , 2009 - Finnish wood products technology supplier Raute Oyj ( HEL : RUTAV ) said today its net profit decreased to EUR 4.7 million ( USD 6.1 m ) for 2008 from EUR 6.6 million for 2007 .",adp news feb finnish wood product technology supplier raute oyj hel rutav say today its net profit decrease to eur million usd m for from eur million for,negative
3686,"The contract covers turnkey deliveries to all five airports operated by the authority -- John F Kennedy , LaGuardia , Newark , Teterboro and Stewart International .",contract cover turnkey delivery to all five airport operate by authority john f kennedy laguardia newark teterboro stewart international,neutral
3687,A total of 140 jobs will be reduced at the Raahe Steel Works .,total of job be reduce at raahe steel work,neutral
3688,"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",release oct peab say two business continue to be conduct under brand cliffton stockholm entreprenad both part of peab group,neutral
3689,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,april finnish construction engineering company outotec oyj hel otev say today it slip to net loss of eur m first quarter of from net profit of eur m corresponding period last year,neutral
3690,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",repair maintenance business account for net sale of eur mn up from eur mn,positive
3691,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raise fair value for share four of large nordic forestry group,positive
3693,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",profit for period be eur mn up from eur mn,positive
3694,"In Sweden , there is an oversupply of pharmacies .",sweden there be oversupply of pharmacy,negative
3695,The firm builds components for mobile phones and other communications products .,firm build component for mobile phone other communication product,neutral
3696,"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",capacity ease at its seikku sawmill pori alholma sawmill pietarsaari result people be lay off for around six week start midmay it say,negative
3697,"Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007 .",exel board of director propose dividend of euro per share for at annual general meeting april,neutral
3698,"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",he announce solution unit '' to speed cooperation august shift simonson from finance chief to lowend phone october,neutral
3699,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,authorization be force for period of month from resolution by general meeting,neutral
3700,"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",revenue for quarter total billion down percent from billion fourth quarter,neutral
3701,"In Sweden , there is an oversupply of pharmacies .",sweden there be oversupply of pharmacy,neutral
3702,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,rollsroyce to ensure compliance after petrobras bribery report,neutral
3703,Japan's Nikkei lands Financial Times in $1.3 billion deal,japan nikkei land financial time billion deal,positive
3704,"The manager is critical of politicians ' failure to differentiate between beleaguered European financial institutions and Skandinavian banks , `` which sailed through the crisis without issues '' .",manager be critical of politician ' failure to differentiate between beleaguered european financial institution skandinavian bank which sail through crisis without issue '',neutral
3705,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,plant would use palm oil certify by roundtable sustainable palm oil rspo,neutral
3706,All depends on financing .,all depend financing,neutral
3707,Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,finnish publishing printing group ilkkayhtym introduce staff smoking ban as of beginning of at company three newspaper,neutral
3708,These savings will have full impact as of the beginning of 2007 .,these saving have full impact as of beginning of,neutral
3709,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,ship unloader be totally enclose along entire conveying line to storage facility,neutral
3710,"Entire paper mills may be set up , especially in the new EU member states .",entire paper mill may be set up especially new eu member state,neutral
3711,Rapala estimates its net sales for 2008 will increase by between 8.0 pct and 12 pct assuming 2007 exchange rates .,rapala estimate its net sale for increase by between pct pct assume exchange rate,positive
3712,"Both operating profit and net sales for the six-month period increased , respectively from EUR7 .5 m and EUR655 .5 m , as compared to the corresponding period in 2005 .",both operating profit net sale for sixmonth period increase respectively from eur m eur m as compare to corresponding period,positive
3713,"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",jukka hienonen current finnair ceo step down at end of january,neutral
3714,Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,price talk be euribor plus bps area sole lead be citigroup,neutral
3715,The properties were purchased from Swedish private equity real estate firm Niam and Goldman Sachs ' Whitehall Street Real Estate Funds .,property be purchase from swedish private equity real estate firm niam goldman sach ' whitehall street real estate fund,neutral
3716,Sunrise Resources operates in Russian near-shore development markets through its wholly-owned Russian subsidiary and has 80 % of its personnel in Russia .,sunrise resource operate russian nearshore development market through its whollyowned russian subsidiary have of its personnel russia,neutral
3717,"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",fast gww daily sale slow again pretty timely coincident indicator,negative
3718,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",as result russia import restriction finnish dairy company be cancel august,positive
3719,Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,analyst survey by thomson financial expect revenue of million for quarter,neutral
3720,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",october finnish environmental management company lassila tikanoja oyj hel latv lt say monday it expect its operating profit exclude nonrecurre item for whole to be slightly low than,neutral
3721,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment .",total number of share company be innofactor group innofactor offer its customer comprehensive solution microsoft environment,neutral
3722,`` The new unit is a major investment in the Finnish media scene .,new unit be major investment finnish medium scene,neutral
3723,Yahoo stock is up to $36.46 as the bidding war picks up for the company https://t.co/JDNZXDCMkl $YHOO https://t.co/HmOegfHgvn,yahoo stock be up to as bidding war pick up for company yhoo,positive
3724,"We know that it exists , '' Artemyev said .",we know that it exist '' artemyev say,neutral
3725,Long $ENDP @ $26.23 on $AGN b/o rumor,long endp agn bo rumor,positive
3726,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",kesko pursue strategy of healthy focused growth concentrate sale service to consumercustomer,positive
3728,Return on capital employed rose by 4.8 percentage points to 19.6 % .,return capital employ rise by percentage point to,positive
3729,"The period-end cash and cash equivalents totaled EUR6 .5 m , compared to EUR10 .5 m in the previous year .",periodend cash cash equivalent total eur m compare to eur m previous year,negative
3730,More than 80 special events in the three counties during four months were hosted by the library system and its nine branch libraries .,more than special event three county during four month be host by library system its nine branch librarie,neutral
3732,Net cash flow from operations is expected to remain positive .,net cash flow from operation be expect to remain positive,positive
3733,"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",adp new nov finnish powersupply solution provider efore oyj omx efov announce today launch of opus dc late power system its opus product line,positive
3734,$AXP Looking for continuation with volume increase http://stks.co/c8sR,axp look for continuation with volume increase,positive
3735,Uponor improved its performance in spite of the decrease in residential construction in the US .,uponor improve its performance spite of decrease residential construction us,positive
3736,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",these include software development for internet mobile telephone content communication valueadde software financial service security application system integration electronic,neutral
3737,$SPY extreme win today - 2 cents above 2009  low on 10-year and $SPY up 2 percent - life is a bowl of cherries - great short setting up $$,spy extreme win today cent above low year spy up percent life be bowl of cherry great short setting up,negative
3738,"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",nokia share hit euro friday down percent from start of year part because of slow introduction of touchscreen model,neutral
3739,It will focus on improving its profitability next year by streamlining operations .,it focus improve its profitability next year by streamline operation,positive
3740,At the same time I am delighted by the fact that we were able to accomplish the organization with our own team members .,at same time I be delight by fact that we be able to accomplish organization with our own team member,positive
3741,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,server be responsible for manage device user account desktop client application enable remote access to mobile phone,neutral
3742,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",earning per share eps be eur up from loss of eur,positive
3743,"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",company transportation business be conduct through florida rock tank line which be southeastern transportation company concentrate hauling by motor carrier of liquid dry bulk commodity,neutral
3744,The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,ipad application join iphone app as part of monster range of mobile application for job hunting,neutral
3745,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,currently more than of global fortune company be use ssh security solution,neutral
3746,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,february finnish medium company sanoma oyj hel saav say yesterday its net profit almost triple to eur m from eur m for announce proposal for raise payout,positive
3747,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",aberdeen am post h outflow say condition to remain challenge,negative
3748,$AAPL  downgrade is bias. This stock is a buy.,aapl downgrade be bias this stock be buy,positive
